,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_leaf,param_clf__max_depth,param_clf__criterion,param_clf__bootstrap,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
7,43.042046546936035,0.0,0.37000155448913574,0.0,30,4,50,entropy,False,"{'clf__n_estimators': 30, 'clf__min_samples_leaf': 4, 'clf__max_depth': 50, 'clf__criterion': 'entropy', 'clf__bootstrap': False}",0.899432913372629,0.899432913372629,0.0,1
3,14.943997859954834,0.0,0.26600146293640137,0.0,5,2,30,entropy,False,"{'clf__n_estimators': 5, 'clf__min_samples_leaf': 2, 'clf__max_depth': 30, 'clf__criterion': 'entropy', 'clf__bootstrap': False}",0.8957454535296254,0.8957454535296254,0.0,2
1,20.820054054260254,0.0,0.30994105339050293,0.0,20,2,15,gini,False,"{'clf__n_estimators': 20, 'clf__min_samples_leaf': 2, 'clf__max_depth': 15, 'clf__criterion': 'gini', 'clf__bootstrap': False}",0.8058775875073331,0.8058775875073331,0.0,3
0,4.216997146606445,0.0,0.3730003833770752,0.0,1,4,50,gini,False,"{'clf__n_estimators': 1, 'clf__min_samples_leaf': 4, 'clf__max_depth': 50, 'clf__criterion': 'gini', 'clf__bootstrap': False}",0.801938709947761,0.801938709947761,0.0,4
9,14.26199722290039,0.0,0.354999303817749,0.0,20,16,20,gini,True,"{'clf__n_estimators': 20, 'clf__min_samples_leaf': 16, 'clf__max_depth': 20, 'clf__criterion': 'gini', 'clf__bootstrap': True}",0.7974131910495292,0.7974131910495292,0.0,5
