,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__penalty,param_clf__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,37.58199763298035,0.0,0.2630007266998291,0.0,saga,none,1,"{'clf__solver': 'saga', 'clf__penalty': 'none', 'clf__C': 1}",0.6066150794759337,0.6066150794759337,0.0,1
1,37.89499640464783,0.0,0.23699951171875,0.0,saga,none,2,"{'clf__solver': 'saga', 'clf__penalty': 'none', 'clf__C': 2}",0.6066150794759337,0.6066150794759337,0.0,1
4,38.18299865722656,0.0,0.19600510597229004,0.0,saga,none,0.05,"{'clf__solver': 'saga', 'clf__penalty': 'none', 'clf__C': 0.05}",0.6066150794759337,0.6066150794759337,0.0,1
2,380.00417399406433,0.0,0.11300086975097656,0.0,newton-cg,none,0.5,"{'clf__solver': 'newton-cg', 'clf__penalty': 'none', 'clf__C': 0.5}",0.6065312735704109,0.6065312735704109,0.0,4
3,34.520997762680054,0.0,0.34200096130371094,0.0,sag,none,2,"{'clf__solver': 'sag', 'clf__penalty': 'none', 'clf__C': 2}",0.6065312735704109,0.6065312735704109,0.0,4
