,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_leaf,param_clf__max_depth,param_clf__criterion,param_clf__bootstrap,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
3,88.48198008537292,0.0,0.3690001964569092,0.0,20,4,30,entropy,True,"{'clf__n_estimators': 20, 'clf__min_samples_leaf': 4, 'clf__max_depth': 30, 'clf__criterion': 'entropy', 'clf__bootstrap': True}",0.9547168757158421,0.9547168757158421,0.0,1
6,76.31299901008606,0.0,0.5090007781982422,0.0,25,8,20,gini,False,"{'clf__n_estimators': 25, 'clf__min_samples_leaf': 8, 'clf__max_depth': 20, 'clf__criterion': 'gini', 'clf__bootstrap': False}",0.9437103667905131,0.9437103667905131,0.0,2
5,128.1330327987671,0.0,0.28600072860717773,0.0,25,1,15,entropy,False,"{'clf__n_estimators': 25, 'clf__min_samples_leaf': 1, 'clf__max_depth': 15, 'clf__criterion': 'entropy', 'clf__bootstrap': False}",0.9374807944799843,0.9374807944799843,0.0,3
9,107.73403406143188,0.0,0.40500354766845703,0.0,30,16,15,entropy,True,"{'clf__n_estimators': 30, 'clf__min_samples_leaf': 16, 'clf__max_depth': 15, 'clf__criterion': 'entropy', 'clf__bootstrap': True}",0.9098248456574574,0.9098248456574574,0.0,4
4,8.120999336242676,0.0,0.14500021934509277,0.0,1,4,50,gini,False,"{'clf__n_estimators': 1, 'clf__min_samples_leaf': 4, 'clf__max_depth': 50, 'clf__criterion': 'gini', 'clf__bootstrap': False}",0.8636198564125486,0.8636198564125486,0.0,5
