,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__penalty,param_clf__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
2,68.84127378463745,0.0,0.05599689483642578,0.0,sag,none,2,"{'clf__solver': 'sag', 'clf__penalty': 'none', 'clf__C': 2}",0.8951867474928067,0.8951867474928067,0.0,1
9,58.23711681365967,0.0,0.05096745491027832,0.0,sag,none,0.05,"{'clf__solver': 'sag', 'clf__penalty': 'none', 'clf__C': 0.05}",0.8951867474928067,0.8951867474928067,0.0,1
4,54.86827516555786,0.0,0.07999753952026367,0.0,saga,l2,2,"{'clf__solver': 'saga', 'clf__penalty': 'l2', 'clf__C': 2}",0.8816660614017935,0.8816660614017935,0.0,3
3,18.101189374923706,0.0,0.09600043296813965,0.0,sag,l2,0.5,"{'clf__solver': 'sag', 'clf__penalty': 'l2', 'clf__C': 0.5}",0.8657150040506187,0.8657150040506187,0.0,4
6,65.60127806663513,0.0,0.05399680137634277,0.0,newton-cg,l2,0.5,"{'clf__solver': 'newton-cg', 'clf__penalty': 'l2', 'clf__C': 0.5}",0.8655753275414141,0.8655753275414141,0.0,5
