,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
6,1436.1279509067535,0.0,3.5779550075531006,0.0,512,5,0.05,0.3,"{'clf__n_estimators': 512, 'clf__max_depth': 5, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.3}",0.9363913177081878,0.9363913177081878,0.0,1
0,363.94876742362976,0.0,1.5840003490447998,0.0,32,10,0.2,0.3,"{'clf__n_estimators': 32, 'clf__max_depth': 10, 'clf__learning_rate': 0.2, 'clf__colsample_bytree': 0.3}",0.934603458390368,0.934603458390368,0.0,2
8,463.99834632873535,0.0,4.15104603767395,0.0,128,10,0.1,0.1,"{'clf__n_estimators': 128, 'clf__max_depth': 10, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.1}",0.9047406207224069,0.9047406207224069,0.0,3
3,2011.452129125595,0.0,4.8569629192352295,0.0,1024,4,0.01,0.3,"{'clf__n_estimators': 1024, 'clf__max_depth': 4, 'clf__learning_rate': 0.01, 'clf__colsample_bytree': 0.3}",0.876581836466743,0.876581836466743,0.0,4
9,107.97704792022705,0.0,0.34800219535827637,0.0,32,3,0.2,0.3,"{'clf__n_estimators': 32, 'clf__max_depth': 3, 'clf__learning_rate': 0.2, 'clf__colsample_bytree': 0.3}",0.8257675224180797,0.8257675224180797,0.0,5
