,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__penalty,param_clf__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
5,58.65362310409546,0.0,0.055002689361572266,0.0,sag,none,0.05,"{'clf__solver': 'sag', 'clf__penalty': 'none', 'clf__C': 0.05}",0.8951867474928067,0.8951867474928067,0.0,1
6,58.6556077003479,0.0,0.053003787994384766,0.0,sag,none,0.1,"{'clf__solver': 'sag', 'clf__penalty': 'none', 'clf__C': 0.1}",0.8951867474928067,0.8951867474928067,0.0,1
1,557.805253982544,0.0,0.03504657745361328,0.0,newton-cg,none,1,"{'clf__solver': 'newton-cg', 'clf__penalty': 'none', 'clf__C': 1}",0.8951308768891247,0.8951308768891247,0.0,3
8,54.522096157073975,0.0,0.04103708267211914,0.0,saga,none,0.5,"{'clf__solver': 'saga', 'clf__penalty': 'none', 'clf__C': 0.5}",0.894153141324692,0.894153141324692,0.0,4
2,35.80960750579834,0.0,0.08000588417053223,0.0,lbfgs,none,0.05,"{'clf__solver': 'lbfgs', 'clf__penalty': 'none', 'clf__C': 0.05}",0.8768332541833115,0.8768332541833115,0.0,5
