,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_leaf,param_clf__max_depth,param_clf__criterion,param_clf__bootstrap,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
9,39.36100196838379,0.0,0.4409964084625244,0.0,25,2,20,entropy,True,"{'clf__n_estimators': 25, 'clf__min_samples_leaf': 2, 'clf__max_depth': 20, 'clf__criterion': 'entropy', 'clf__bootstrap': True}",0.8813308377797022,0.8813308377797022,0.0,1
8,31.07900094985962,0.0,0.6790032386779785,0.0,30,1,20,gini,True,"{'clf__n_estimators': 30, 'clf__min_samples_leaf': 1, 'clf__max_depth': 20, 'clf__criterion': 'gini', 'clf__bootstrap': True}",0.8759951951280833,0.8759951951280833,0.0,2
0,27.180999279022217,0.0,0.5000021457672119,0.0,10,4,30,entropy,True,"{'clf__n_estimators': 10, 'clf__min_samples_leaf': 4, 'clf__max_depth': 30, 'clf__criterion': 'entropy', 'clf__bootstrap': True}",0.864737268486186,0.864737268486186,0.0,3
4,14.152997493743896,0.0,0.5510005950927734,0.0,10,4,30,gini,True,"{'clf__n_estimators': 10, 'clf__min_samples_leaf': 4, 'clf__max_depth': 30, 'clf__criterion': 'gini', 'clf__bootstrap': True}",0.8601279436824315,0.8601279436824315,0.0,4
1,38.49999642372131,0.0,0.5290002822875977,0.0,25,16,20,gini,False,"{'clf__n_estimators': 25, 'clf__min_samples_leaf': 16, 'clf__max_depth': 20, 'clf__criterion': 'gini', 'clf__bootstrap': False}",0.8192865323909825,0.8192865323909825,0.0,5
