,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__learning_rate,param_clf__hidden_layer_sizes,param_clf__alpha,param_clf__activation,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,171.39199113845825,0.0,0.2740058898925781,0.0,sgd,adaptive,"(32, 32, 32)",0.05,relu,"{'clf__solver': 'sgd', 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (32, 32, 32), 'clf__alpha': 0.05, 'clf__activation': 'relu'}",0.707489454423555,0.707489454423555,0.0,3
1,92.55247116088867,0.0,0.44099879264831543,0.0,sgd,adaptive,"(8, 8, 8, 8)",0.05,relu,"{'clf__solver': 'sgd', 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (8, 8, 8, 8), 'clf__alpha': 0.05, 'clf__activation': 'relu'}",0.4708774478308238,0.4708774478308238,0.0,8
2,217.52599143981934,0.0,0.6879987716674805,0.0,sgd,adaptive,"(128, 128, 128, 128)",0.1,logistic,"{'clf__solver': 'sgd', 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (128, 128, 128, 128), 'clf__alpha': 0.1, 'clf__activation': 'logistic'}",0.10081850434393944,0.10081850434393944,0.0,9
3,89.86147117614746,0.0,0.5119979381561279,0.0,sgd,constant,"(64, 64)",0.1,identity,"{'clf__solver': 'sgd', 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (64, 64), 'clf__alpha': 0.1, 'clf__activation': 'identity'}",0.6071458502109115,0.6071458502109115,0.0,6
4,87.83747172355652,0.0,0.5239989757537842,0.0,adam,adaptive,"(8, 8, 8, 8)",0.0001,relu,"{'clf__solver': 'adam', 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (8, 8, 8, 8), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.6623739419504427,0.6623739419504427,0.0,5
5,857.479293346405,0.0,0.7059521675109863,0.0,sgd,adaptive,"(256, 256, 256, 256)",0.2,relu,"{'clf__solver': 'sgd', 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (256, 256, 256, 256), 'clf__alpha': 0.2, 'clf__activation': 'relu'}",0.7117914909070593,0.7117914909070593,0.0,2
6,29.170469045639038,0.0,0.7780017852783203,0.0,sgd,constant,"(64, 64, 64)",1,logistic,"{'clf__solver': 'sgd', 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (64, 64, 64), 'clf__alpha': 1, 'clf__activation': 'logistic'}",0.09782942704695924,0.09782942704695924,0.0,10
7,690.7004945278168,0.0,4.5379626750946045,0.0,adam,adaptive,"(128, 128, 128, 128)",0.01,relu,"{'clf__solver': 'adam', 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (128, 128, 128, 128), 'clf__alpha': 0.01, 'clf__activation': 'relu'}",0.7505936251641199,0.7505936251641199,0.0,1
8,65.99152326583862,0.0,0.5329992771148682,0.0,adam,adaptive,"(32, 32)",0.1,tanh,"{'clf__solver': 'adam', 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (32, 32), 'clf__alpha': 0.1, 'clf__activation': 'tanh'}",0.7029360002234825,0.7029360002234825,0.0,4
9,23.21152138710022,0.0,0.2740025520324707,0.0,adam,adaptive,"(4, 4)",0.001,identity,"{'clf__solver': 'adam', 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (4, 4), 'clf__alpha': 0.001, 'clf__activation': 'identity'}",0.5858870855099589,0.5858870855099589,0.0,7
