,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__learning_rate,param_clf__base_estimator,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,143.44018411636353,0.0,0.2520415782928467,0.0,10,0.1,SGDClassifier(),"{'clf__n_estimators': 10, 'clf__learning_rate': 0.1, 'clf__base_estimator': SGDClassifier()}",0.1999608905774227,0.1999608905774227,0.0,6
1,41.980063915252686,0.0,2.9140002727508545,0.0,250,0.001,BernoulliNB(),"{'clf__n_estimators': 250, 'clf__learning_rate': 0.001, 'clf__base_estimator': BernoulliNB()}",0.09782942704695924,0.09782942704695924,0.0,9
2,7.84206485748291,0.0,0.39699840545654297,0.0,50,10,DecisionTreeClassifier(),"{'clf__n_estimators': 50, 'clf__learning_rate': 10, 'clf__base_estimator': DecisionTreeClassifier()}",0.8766935776741067,0.8766935776741067,0.0,1
3,7.8970627784729,0.0,0.4349989891052246,0.0,50,5,DecisionTreeClassifier(),"{'clf__n_estimators': 50, 'clf__learning_rate': 5, 'clf__base_estimator': DecisionTreeClassifier()}",0.8766935776741067,0.8766935776741067,0.0,1
4,7.953061819076538,0.0,0.46500134468078613,0.0,50,0.001,DecisionTreeClassifier(),"{'clf__n_estimators': 50, 'clf__learning_rate': 0.001, 'clf__base_estimator': DecisionTreeClassifier()}",0.8766935776741067,0.8766935776741067,0.0,1
5,29.670061111450195,0.0,0.38100099563598633,0.0,10,0.5,Perceptron(),"{'clf__n_estimators': 10, 'clf__learning_rate': 0.5, 'clf__base_estimator': Perceptron()}",0.4454004525518898,0.4454004525518898,0.0,5
6,1013.8792343139648,0.0,0.8429973125457764,0.0,100,5,SGDClassifier(),"{'clf__n_estimators': 100, 'clf__learning_rate': 5, 'clf__base_estimator': SGDClassifier()}",0.09964522166662011,0.09964522166662011,0.0,8
7,20.93806529045105,0.0,1.7780001163482666,0.0,100,0.001,BernoulliNB(),"{'clf__n_estimators': 100, 'clf__learning_rate': 0.001, 'clf__base_estimator': BernoulliNB()}",0.09782942704695924,0.09782942704695924,0.0,9
8,2219.6857693195343,0.0,1.5720024108886719,0.0,250,5,SGDClassifier(),"{'clf__n_estimators': 250, 'clf__learning_rate': 5, 'clf__base_estimator': SGDClassifier()}",0.1808531441182222,0.1808531441182222,0.0,7
9,93.46699810028076,0.0,0.6879978179931641,0.0,50,0.01,Perceptron(),"{'clf__n_estimators': 50, 'clf__learning_rate': 0.01, 'clf__base_estimator': Perceptron()}",0.5052937396988575,0.5052937396988575,0.0,4
