,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__penalty,param_clf__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,40.09752535820007,0.0,0.027956008911132812,0.0,sag,l2,1,"{'clf__solver': 'sag', 'clf__penalty': 'l2', 'clf__C': 1}",0.8754364890912646,0.8754364890912646,0.0,7
1,83.65484309196472,0.0,0.05499887466430664,0.0,newton-cg,l2,2,"{'clf__solver': 'newton-cg', 'clf__penalty': 'l2', 'clf__C': 2}",0.8816660614017935,0.8816660614017935,0.0,3
2,99.16334414482117,0.0,0.027988672256469727,0.0,sag,none,0.05,"{'clf__solver': 'sag', 'clf__penalty': 'none', 'clf__C': 0.05}",0.8951867474928067,0.8951867474928067,0.0,1
3,87.09683656692505,0.0,0.03400087356567383,0.0,lbfgs,none,0.1,"{'clf__solver': 'lbfgs', 'clf__penalty': 'none', 'clf__C': 0.1}",0.8768332541833115,0.8768332541833115,0.0,4
4,86.74633026123047,0.0,0.030052661895751953,0.0,lbfgs,none,0.01,"{'clf__solver': 'lbfgs', 'clf__penalty': 'none', 'clf__C': 0.01}",0.8768332541833115,0.8768332541833115,0.0,4
5,59.967548847198486,0.0,0.044996023178100586,0.0,lbfgs,l2,0.01,"{'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__C': 0.01}",0.7327709025896025,0.7327709025896025,0.0,10
6,64.95587682723999,0.0,0.03399991989135742,0.0,newton-cg,l2,0.1,"{'clf__solver': 'newton-cg', 'clf__penalty': 'l2', 'clf__C': 0.1}",0.8231974746487136,0.8231974746487136,0.0,8
7,39.4424774646759,0.0,0.49500226974487305,0.0,saga,l2,0.1,"{'clf__solver': 'saga', 'clf__penalty': 'l2', 'clf__C': 0.1}",0.8231974746487136,0.8231974746487136,0.0,8
8,480.2525284290314,0.0,0.025996685028076172,0.0,sag,none,0.1,"{'clf__solver': 'sag', 'clf__penalty': 'none', 'clf__C': 0.1}",0.8951867474928067,0.8951867474928067,0.0,1
9,441.2153446674347,0.0,0.03300213813781738,0.0,lbfgs,none,2,"{'clf__solver': 'lbfgs', 'clf__penalty': 'none', 'clf__C': 2}",0.8768332541833115,0.8768332541833115,0.0,4
