,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,348.45550632476807,0.0,0.32899999618530273,0.0,32,3,0.01,0.9,"{'clf__n_estimators': 32, 'clf__max_depth': 3, 'clf__learning_rate': 0.01, 'clf__colsample_bytree': 0.9}",0.6952817275190658,0.6952817275190658,0.0,9
1,206.84250903129578,0.0,0.49899888038635254,0.0,32,4,1,0.3,"{'clf__n_estimators': 32, 'clf__max_depth': 4, 'clf__learning_rate': 1, 'clf__colsample_bytree': 0.3}",0.9144900410648937,0.9144900410648937,0.0,2
2,347.77950620651245,0.0,0.7850003242492676,0.0,128,2,0.2,0.3,"{'clf__n_estimators': 128, 'clf__max_depth': 2, 'clf__learning_rate': 0.2, 'clf__colsample_bytree': 0.3}",0.8671117691426656,0.8671117691426656,0.0,5
3,528.3171842098236,0.0,0.5240011215209961,0.0,32,6,0.1,0.9,"{'clf__n_estimators': 32, 'clf__max_depth': 6, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.9}",0.8749057183562868,0.8749057183562868,0.0,4
4,142.04650402069092,0.0,0.28400325775146484,0.0,8,3,0.001,1,"{'clf__n_estimators': 8, 'clf__max_depth': 3, 'clf__learning_rate': 0.001, 'clf__colsample_bytree': 1}",0.6375394586138503,0.6375394586138503,0.0,10
5,2418.6870577335358,0.0,1.1390511989593506,0.0,256,5,0.001,1,"{'clf__n_estimators': 256, 'clf__max_depth': 5, 'clf__learning_rate': 0.001, 'clf__colsample_bytree': 1}",0.7762382322540995,0.7762382322540995,0.0,6
6,2416.321113586426,0.0,1.4639451503753662,0.0,256,5,0.0001,1,"{'clf__n_estimators': 256, 'clf__max_depth': 5, 'clf__learning_rate': 0.0001, 'clf__colsample_bytree': 1}",0.7511243958990977,0.7511243958990977,0.0,7
7,2141.8718843460083,0.0,2.700042724609375,0.0,256,6,0.1,0.7,"{'clf__n_estimators': 256, 'clf__max_depth': 6, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.7}",0.9619521188926446,0.9619521188926446,0.0,1
8,149.99900150299072,0.0,0.42799925804138184,0.0,64,2,0.05,0.3,"{'clf__n_estimators': 64, 'clf__max_depth': 2, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.3}",0.7486102187334134,0.7486102187334134,0.0,8
9,1104.119343996048,0.0,2.819049835205078,0.0,512,3,0.05,0.3,"{'clf__n_estimators': 512, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.3}",0.8983713719026734,0.8983713719026734,0.0,3
